synid,voxelcount,prob,neuron,type
125,571,0.0035026269702276708,16214,1
125,571,0.012259194395796848,16320,0
125,571,0.5061295971978984,16356,1
125,571,0.47810858143607704,16367,2
126,444,0.5540540540540541,10016,2
126,444,0.4346846846846847,13836,1
126,444,0.01126126126126126,14491,0
127,282,0.4397163120567376,10013,2
127,282,0.5602836879432624,13758,1
128,358,0.4692737430167598,10013,2
128,358,0.5307262569832403,13718,1
129,185,0.42162162162162165,14651,2
129,185,0.5783783783783784,13831,1
130,554,0.463898916967509,14466,1
130,554,0.5361010830324909,14651,2
131,446,0.437219730941704,14156,1
131,446,0.02242152466367713,16592,1
131,446,0.5381165919282511,16639,2
131,446,0.002242152466367713,16673,2
132,174,0.3850574712643678,13206,2
132,174,0.6149425287356322,14064,1
133,270,0.4444444444444444,13189,2
133,270,0.5555555555555556,13829,1
134,2194,0.5022789425706472,13213,2
134,2194,0.4977210574293528,14466,1
135,373,0.5817694369973191,10016,2
135,373,0.41823056300268097,13814,1
136,113,0.584070796460177,14803,2
136,113,0.415929203539823,15694,1
137,356,0.48314606741573035,13198,2
137,356,0.5168539325842697,13901,1
138,316,0.4525316455696203,13198,2
138,316,0.5474683544303798,13713,1
139,94,0.5,12323,2
139,94,0.5,14095,1
140,145,0.4896551724137931,13197,2
140,145,0.5103448275862069,13976,1
141,151,0.3509933774834437,13189,2
141,151,0.6490066225165563,14872,1
142,109,0.3119266055045872,13198,2
142,109,0.6880733944954128,13785,1
143,399,0.5238095238095238,13202,2
143,399,0.47619047619047616,14968,1
144,157,0.554140127388535,14513,1
144,157,0.445859872611465,14803,2
145,147,0.782312925170068,13201,2
145,147,0.21768707482993196,13790,1
146,239,0.6443514644351465,10016,2
146,239,0.35564853556485354,13838,1
147,187,0.40641711229946526,16476,2
147,187,0.5935828877005348,16694,1
148,167,0.39520958083832336,10018,2
148,167,0.6047904191616766,16217,1
149,449,0.46770601336302897,10014,2
149,449,0.5300668151447662,15714,1
149,449,0.0022271714922048997,15975,1
150,108,0.48148148148148145,14228,1
150,108,0.5185185185185185,14651,2
151,237,0.5822784810126582,13198,2
151,237,0.4177215189873418,14025,1
152,170,0.5176470588235295,13188,2
152,170,0.4823529411764706,13790,1
153,189,0.42857142857142855,13190,2
153,189,0.5714285714285714,13829,1
154,16,0.3125,13685,1
154,16,0.6875,13211,2
155,15,0.6666666666666666,10016,2
155,15,0.3333333333333333,16336,1
156,1809,0.001105583195135434,13901,1
156,1809,0.5892758430071863,14802,2
156,1809,0.4096185737976783,16706,1
157,506,0.35968379446640314,10016,2
157,506,0.5276679841897233,15867,1
157,506,0.11264822134387352,16322,1
158,114,0.4298245614035088,10016,2
158,114,0.5701754385964912,14045,1
159,412,0.30339805825242716,13127,2
159,412,0.6966019417475728,13843,1
160,1501,0.5089940039973351,15331,2
160,1501,0.49100599600266487,15425,1
161,255,0.43529411764705883,14080,1
161,255,0.5647058823529412,14808,2
162,2790,0.496415770609319,13213,2
162,2790,0.503584229390681,13820,1
163,1275,0.4682352941176471,15129,2
163,1275,0.5317647058823529,15205,1
164,1925,0.49974025974025976,16531,2
164,1925,0.5002597402597403,16634,1
165,705,0.5063829787234042,13206,2
165,705,0.49361702127659574,13687,1
166,135,0.4222222222222222,15567,1
166,135,0.5777777777777777,15577,2
167,515,0.47378640776699027,10016,2
167,515,0.5262135922330097,11399,1
168,795,0.3559748427672956,12531,2
168,795,0.6440251572327044,13824,1
169,1277,0.6100234925606891,10014,2
169,1277,0.3899765074393109,14064,1
170,66,0.803030303030303,13184,2
170,66,0.16666666666666666,13791,1
170,66,0.030303030303030304,14355,1
171,225,0.49333333333333335,10016,2
171,225,0.49777777777777776,13848,1
171,225,0.008888888888888889,16425,1
172,311,0.006430868167202572,16310,1
172,311,0.42443729903536975,16367,2
172,311,0.5691318327974276,16373,1
173,208,0.08653846153846154,13187,2
173,208,0.4182692307692308,13187,2
173,208,0.4951923076923077,14063,1
174,143,0.4825174825174825,14802,2
174,143,0.5174825174825175,13734,1
175,346,0.5578034682080925,14801,2
175,346,0.4421965317919075,13912,1
176,587,0.5383304940374787,13197,2
176,587,0.4616695059625213,13851,1
177,240,0.5583333333333333,10014,2
177,240,0.44166666666666665,13791,1
178,248,0.43951612903225806,14802,2
178,248,0.5604838709677419,13824,1
179,243,0.4732510288065844,10014,2
179,243,0.5267489711934157,15317,1
180,1062,0.5357815442561206,16209,1
180,1062,0.0018832391713747645,16293,1
180,1062,0.4623352165725047,16367,2
181,273,0.08058608058608059,13187,2
181,273,0.43223443223443225,13187,2
181,273,0.48717948717948717,14041,1
182,198,0.398989898989899,13229,2
182,198,0.601010101010101,14046,1
183,623,0.5441412520064205,13900,1
183,623,0.45585874799357945,15217,2
184,299,0.5317725752508361,13731,1
184,299,0.4682274247491639,14803,2
185,81,0.25925925925925924,14513,1
185,81,0.7407407407407407,13213,2
186,38,0.6842105263157895,14801,2
186,38,0.3157894736842105,13788,1
187,170,0.5647058823529412,15155,2
187,170,0.43529411764705883,15704,1
188,2026,0.527147087857848,13230,2
188,2026,0.472852912142152,15195,1
189,89,0.39325842696629215,13960,1
189,89,0.6067415730337079,15156,2
190,172,0.005813953488372093,16162,1
190,172,0.5348837209302325,16182,1
190,172,0.05232558139534884,16321,1
190,172,0.4069767441860465,16552,2
191,137,0.44525547445255476,10016,2
191,137,0.0072992700729927005,16282,1
191,137,0.5474452554744526,16437,1
192,355,0.6225352112676056,14572,1
192,355,0.37746478873239436,13229,2
193,456,0.4451754385964912,10014,2
193,456,0.5548245614035088,13923,1
194,219,0.4657534246575342,15207,1
194,219,0.5342465753424658,13227,2
195,233,0.351931330472103,13214,2
195,233,0.648068669527897,15100,1
196,388,0.49742268041237114,16619,1
196,388,0.5025773195876289,16673,2
197,1495,0.47224080267558527,14470,1
197,1495,0.5277591973244147,13228,2
198,387,0.5788113695090439,15331,2
198,387,0.42118863049095606,15570,1
199,3152,0.4720812182741117,13214,2
199,3152,0.5279187817258884,15212,1
200,1087,0.6182152713891444,13226,2
200,1087,0.38178472861085555,15989,1
201,960,0.49375,13225,2
201,960,0.50625,15651,1
202,317,0.5615141955835962,15396,1
