Size,1,2,3,4,5
115,5717.74142003,5686.884655,5652.12317705,5635.87671494,5639.60367107
12,730.848114014,733.135560989,717.548676014,796.188112974,717.885241032
2.7,81.4210250378,80.7390699387,80.6565191746,81.7525558472,80.2527430058
